Sex,sampleYear,age_4,age_5,age_6,age_7
female,1982,531.1766699,754.0155478,NA,892.7825888
female,1983,531.266,801.6307865,851.332616,869.0469952
female,1985,NA,713.8558015,805.4094618,890.5688752
female,1986,528.2218085,717.3283058,826.2448135,892.2098038
female,1987,NA,728.8396334,840.673342,904.6048982
female,1988,NA,793.7559058,830.1742454,905.6275078
female,1989,800.6334737,804.0630648,NA,NA
female,1990,633.4397483,744.1853801,833.1249039,877.8022791
female,1991,699.195601,746.5386881,832.3890856,897.6896607
female,1992,769.0398406,NA,838.8850569,856.0773776
female,1993,540.246,817.1436595,NA,905.3357008
female,1994,NA,756.8105453,848.3574469,886.1516122
female,1995,653.6748396,788.3631034,832.415201,873.1195929
female,1996,619.7161976,729.3138878,824.1673255,876.1342587
female,1997,881.5430101,791.3422912,833.8801807,896.6975525
female,1998,840.3315393,NA,NA,836.5975375
female,1999,NA,754.2371347,804.0322182,768.0937909
female,2000,757.5329972,773.3949517,795.7654362,863.2430343
female,2001,NA,721.609059,813.0959009,822.7264744
female,2002,543.9909769,721.9777706,807.9418469,887.4840762
female,2003,643.5798571,794.7199121,854.7798832,897.1904344
female,2004,NA,773.5215708,850.3231779,922.017665
female,2005,NA,767.756596,824.2616686,872.7572849
female,2006,764.746,789.7684629,823.1306303,937.7350274
male,1982,547.3556344,781.4483819,950.7491825,959.8468191
male,1983,555.1596087,730.2704166,882.968231,939.9856186
male,1985,504.4380235,663.0471892,802.1848991,968.3580651
male,1986,508.6645066,684.3939183,857.7340504,962.7987793
male,1987,NA,702.1014992,876.9863193,958.2799885
male,1988,564.5138932,726.5525045,877.481363,988.5175853
male,1989,839.6902791,767.6512974,874.5584545,990.5666643
male,1990,567.3018094,715.7552843,877.3893525,928.2939173
male,1991,580.1022366,741.7498163,893.8473468,955.7007583
male,1992,700.586458,729.9466948,870.6532005,907.284239
male,1993,564.3526974,715.7292076,863.6078027,956.5115905
male,1994,604.9555135,716.0384375,884.4140579,962.9785864
male,1995,580.4133744,764.3199276,860.8204418,962.3478048
male,1996,680.7249357,NA,840.4077004,900.2710399
male,1997,599.6497067,741.4173538,870.0553654,925.81087
male,1998,622.8167202,707.1094059,816.2967497,900.8249311
male,1999,509.2344269,728.1183455,814.3630529,931.9485781
male,2000,632.9127101,678.4787034,NA,943.2790278
male,2001,583.2524225,694.7684227,801.3576053,862.4722407
male,2002,NA,703.2920961,888.0656588,888.5557107
male,2003,544.8752754,NA,867.4882392,937.6065745
male,2004,NA,713.2765533,861.4896802,NA
male,2005,594.2738865,744.2014318,838.886013,1034.146
male,2006,604.1571529,NA,870.3949644,NA
