"stock","UMSY","UMSYse","SMSY","SMSYse","recSD","recSDse","phi","phise","errSD","errSDse","mu","muse"
"LowerMainstem","0.40","0.10",5679,1077,"0.67","0.04","0.00","0.00","0.045","0.005","197.984","0.122"
"WhiteDonjek","0.29","0.12",6123,2502,"0.67","0.04","0.00","0.00","0.030","0.004","198.846","0.233"
"Pelly","0.25","0.10",13349,4406,"0.67","0.04","0.00","0.00","0.026","0.003","202.766","0.190"
"Stewart","0.25","0.09",8577,3212,"0.67","0.04","0.00","0.00","0.039","0.005","202.692","0.266"
"Carmacks","0.45","0.11",6490,1538,"0.67","0.04","0.00","0.00","0.027","0.003","208.960","0.213"
"Teslin","0.15","0.09",21155,6326,"0.67","0.04","0.00","0.00","0.032","0.004","208.491","0.107"
"MiddleMainstem","0.78","0.06",2907,352,"0.67","0.04","0.00","0.00","0.043","0.005","210.661","0.239"
"UpperLakesAndMainstem","0.72","0.07",1721,190,"0.67","0.04","0.00","0.00","0.047","0.006","222.189","0.213"
