"stock","UMSY","UMSYse","SMSY","SMSYse","recSD","recSDse","phi","phise","errSD","errSDse","mu","muse"
"LowerMainstem","0.17","0.06",4499,1103,"0.81","0.04","0.00","0.00","0.067","0.008","196.309","0.127"
"WhiteDonjek","0.19","0.06",3235,728,"0.81","0.04","0.00","0.00","0.030","0.004","199.505","0.262"
"Pelly","0.20","0.06",7900,1702,"0.81","0.04","0.00","0.00","0.026","0.003","201.952","0.149"
"Stewart","0.24","0.07",3955,793,"0.81","0.04","0.00","0.00","0.058","0.007","206.572","0.209"
"Carmacks","0.19","0.06",6428,1499,"0.81","0.04","0.00","0.00","0.025","0.003","207.068","0.193"
"Teslin","0.20","0.05",10506,1982,"0.81","0.04","0.00","0.00","0.030","0.004","207.352","0.110"
"MiddleMainstem","0.43","0.11",5696,724,"0.81","0.04","0.00","0.00","0.031","0.004","212.479","0.177"
"UpperLakesAndMainstem","0.18","0.07",1913,535,"0.81","0.04","0.00","0.00","0.051","0.007","221.810","0.300"
